"","method","r","Sd","sample_size","ESS_group","Period","accuracy","precision"
"190","OLE_resamp_caldate",0.03,20,40,5,"Pleistocene",100,3912.00963230437
"191","OLE_resamp_caldate",0.03,20,80,10,"Holocene",99.4850669412976,754.166421602692
"192","OLE_resamp_caldate",0.03,20,80,10,"Pleistocene",100,1493.42581774618
"193","OLE_resamp_caldate",0.03,20,80,40,"Holocene",95.6745623069001,798.484522346052
"194","OLE_resamp_caldate",0.03,20,80,40,"Pleistocene",99.9,1339.66721517897
"195","OLE_resamp_caldate",0.03,20,80,5,"Holocene",100,1742.99663986663
"196","OLE_resamp_caldate",0.03,20,80,5,"Pleistocene",100,3485.46143056584
"197","OLE_resamp_caldate",0.03,20,80,80,"Holocene",93.2028836251287,1239.97898695079
"198","OLE_resamp_caldate",0.03,20,80,80,"Pleistocene",99.7,1836.08080360632
"199","OLE_resamp_caldate",0.03,50,10,10,"Holocene",98.3539094650206,2172.46655260225
"200","OLE_resamp_caldate",0.03,50,10,10,"Pleistocene",99.3,2834.82338394977
"201","OLE_resamp_caldate",0.03,50,10,5,"Holocene",100,3975.90336559088
"202","OLE_resamp_caldate",0.03,50,10,5,"Pleistocene",100,5650.2125272874
"203","OLE_resamp_caldate",0.03,50,40,10,"Holocene",99.7942386831276,1137.63840294575
"204","OLE_resamp_caldate",0.03,50,40,10,"Pleistocene",100,1791.60303929948
"205","OLE_resamp_caldate",0.03,50,40,40,"Holocene",96.9135802469136,1410.80107251267
"206","OLE_resamp_caldate",0.03,50,40,40,"Pleistocene",99.5,1936.07048586328
"207","OLE_resamp_caldate",0.03,50,40,5,"Holocene",100,2558.40567629939
"208","OLE_resamp_caldate",0.03,50,40,5,"Pleistocene",100,4087.58123846146
"209","OLE_resamp_caldate",0.03,50,80,10,"Holocene",99.6913580246914,947.541620351201
"210","OLE_resamp_caldate",0.03,50,80,10,"Pleistocene",100,1597.1420411368
"211","OLE_resamp_caldate",0.03,50,80,40,"Holocene",99.0740740740741,922.563152114696
"212","OLE_resamp_caldate",0.03,50,80,40,"Pleistocene",99.9,1401.0664006365
"213","OLE_resamp_caldate",0.03,50,80,5,"Holocene",100,2233.69847080739
"214","OLE_resamp_caldate",0.03,50,80,5,"Pleistocene",100,3773.6823686868
"215","OLE_resamp_caldate",0.03,50,80,80,"Holocene",98.0452674897119,1361.83801195768
"216","OLE_resamp_caldate",0.03,50,80,80,"Pleistocene",99.5,1901.42796385346
"217","OLE_resamp_caldate",0.06,20,10,10,"Holocene",95.8847736625514,2022.03753963894
"218","OLE_resamp_caldate",0.06,20,10,10,"Pleistocene",99.3,2803.97356531284
"219","OLE_resamp_caldate",0.06,20,10,5,"Holocene",99.8971193415638,3303.82868201815
"220","OLE_resamp_caldate",0.06,20,10,5,"Pleistocene",100,5528.99555745112
"221","OLE_resamp_caldate",0.06,20,40,10,"Holocene",99.0740740740741,848.408126945863
"222","OLE_resamp_caldate",0.06,20,40,10,"Pleistocene",100,1685.96836708064
"223","OLE_resamp_caldate",0.06,20,40,40,"Holocene",95.0617283950617,1285.91109973185
"224","OLE_resamp_caldate",0.06,20,40,40,"Pleistocene",99.6,1894.12422197166
"225","OLE_resamp_caldate",0.06,20,40,5,"Holocene",100,1781.93942098618
"226","OLE_resamp_caldate",0.06,20,40,5,"Pleistocene",100,3813.87732064014
"227","OLE_resamp_caldate",0.06,20,80,10,"Holocene",99.6913580246914,665.672703484808
"228","OLE_resamp_caldate",0.06,20,80,10,"Pleistocene",100,1480.90633295941
"229","OLE_resamp_caldate",0.06,20,80,40,"Holocene",96.6049382716049,765.641057098607
"230","OLE_resamp_caldate",0.06,20,80,40,"Pleistocene",100,1325.23675293773
"231","OLE_resamp_caldate",0.06,20,80,5,"Holocene",100,1505.35643987631
"232","OLE_resamp_caldate",0.06,20,80,5,"Pleistocene",100,3512.67896221458
"233","OLE_resamp_caldate",0.06,20,80,80,"Holocene",95.3703703703704,1238.03682325606
"234","OLE_resamp_caldate",0.06,20,80,80,"Pleistocene",100,1849.5726751748
"235","OLE_resamp_caldate",0.06,50,10,10,"Holocene",98.4552008238929,2141.5842391591
"236","OLE_resamp_caldate",0.06,50,10,10,"Pleistocene",99.6,2821.12927190912
"237","OLE_resamp_caldate",0.06,50,10,5,"Holocene",100,3786.88908007011
"238","OLE_resamp_caldate",0.06,50,10,5,"Pleistocene",100,5524.16515685906
"239","OLE_resamp_caldate",0.06,50,40,10,"Holocene",100,1087.02326106053
"240","OLE_resamp_caldate",0.06,50,40,10,"Pleistocene",100,1797.47050507204
"241","OLE_resamp_caldate",0.06,50,40,40,"Holocene",98.2492276004119,1417.26369533432
"242","OLE_resamp_caldate",0.06,50,40,40,"Pleistocene",99.8,1957.98624804498
"243","OLE_resamp_caldate",0.06,50,40,5,"Holocene",100,2421.68311125826
"244","OLE_resamp_caldate",0.06,50,40,5,"Pleistocene",100,4129.228215636
"245","OLE_resamp_caldate",0.06,50,80,10,"Holocene",100,934.275843575966
"246","OLE_resamp_caldate",0.06,50,80,10,"Pleistocene",100,1562.4149518485
"247","OLE_resamp_caldate",0.06,50,80,40,"Holocene",99.8970133882595,911.289827309357
"248","OLE_resamp_caldate",0.06,50,80,40,"Pleistocene",100,1397.6770223073
"249","OLE_resamp_caldate",0.06,50,80,5,"Holocene",100,2208.64069314321
"250","OLE_resamp_caldate",0.06,50,80,5,"Pleistocene",100,3644.68786094748
"251","OLE_resamp_caldate",0.06,50,80,80,"Holocene",99.3820803295572,1376.22748507218
"252","OLE_resamp_caldate",0.06,50,80,80,"Pleistocene",100,1920.21706422716
"253","OLE_resamp_norm",0.01,20,10,10,"Holocene",92.5849639546859,2158.38192017204
"254","OLE_resamp_norm",0.01,20,10,10,"Pleistocene",99.6,3136.63872769084
"255","OLE_resamp_norm",0.01,20,10,5,"Holocene",99.5880535530381,4435.69474185134
