"r","Sd","ESS","sample_size","method","Period","avg_accuracy","avg_precision","avg_agreementindex","prop_agrementindex_over_60","avg_accuracy_agreementindex_over_60"
0.01,50,5,10,"OLE_resamp_norm","Pleistocene",1,7212.44480955055,NA,NA,NA
0.01,50,5,10,"OLE_resamp_unif","Holocene",1,5177.43309650447,NA,NA,NA
0.01,50,5,10,"OLE_resamp_unif","Pleistocene",1,7029.95172919375,NA,NA,NA
0.01,50,5,40,"OLE_medians","Holocene",0.936148300720906,2866.39251453507,NA,NA,NA
0.01,50,5,40,"OLE_medians","Pleistocene",0.966,3656.870289412,NA,NA,NA
0.01,50,5,40,"OLE_resamp_caldate","Holocene",1,3033.99917910276,NA,NA,NA
0.01,50,5,40,"OLE_resamp_caldate","Pleistocene",1,4474.56938529136,NA,NA,NA
0.01,50,5,40,"OLE_resamp_norm","Holocene",1,3489.54623473996,NA,NA,NA
0.01,50,5,40,"OLE_resamp_norm","Pleistocene",1,5648.39076354382,NA,NA,NA
0.01,50,5,40,"OLE_resamp_unif","Holocene",1,3465.23759295766,NA,NA,NA
0.01,50,5,40,"OLE_resamp_unif","Pleistocene",1,4814.69788986245,NA,NA,NA
0.01,50,5,80,"OLE_medians","Holocene",0.949536560247168,2638.97916223654,NA,NA,NA
0.01,50,5,80,"OLE_medians","Pleistocene",0.984,3191.02500155501,NA,NA,NA
0.01,50,5,80,"OLE_resamp_caldate","Holocene",1,2642.84606531365,NA,NA,NA
0.01,50,5,80,"OLE_resamp_caldate","Pleistocene",1,3939.57435969648,NA,NA,NA
0.01,50,5,80,"OLE_resamp_norm","Holocene",1,3224.67224152213,NA,NA,NA
0.01,50,5,80,"OLE_resamp_norm","Pleistocene",1,5225.74322374544,NA,NA,NA
0.01,50,5,80,"OLE_resamp_unif","Holocene",1,3182.8800084629,NA,NA,NA
0.01,50,5,80,"OLE_resamp_unif","Pleistocene",1,4245.0105298599,NA,NA,NA
0.01,50,10,10,"CRIWM","Holocene",0.393,257.075,NA,NA,NA
0.01,50,10,10,"CRIWM","Pleistocene",0.733,482.133,NA,NA,NA
0.01,50,10,10,"OLE_medians","Holocene",0.840370751802266,2120.15231651683,NA,NA,NA
0.01,50,10,10,"OLE_medians","Pleistocene",0.866,2432.83144575237,NA,NA,NA
0.01,50,10,10,"OLE_resamp_caldate","Holocene",0.938208032955716,2241.22364785168,NA,NA,NA
0.01,50,10,10,"OLE_resamp_caldate","Pleistocene",0.976,2831.91695185715,NA,NA,NA
0.01,50,10,10,"OLE_resamp_norm","Holocene",0.975283213182286,2399.10803370866,NA,NA,NA
0.01,50,10,10,"OLE_resamp_norm","Pleistocene",0.999,3261.81059593767,NA,NA,NA
0.01,50,10,10,"OLE_resamp_unif","Holocene",0.981462409886715,2453.32685702208,NA,NA,NA
0.01,50,10,10,"OLE_resamp_unif","Pleistocene",0.999,3344.27154729109,NA,NA,NA
0.01,50,10,10,"oxcal_trap","Holocene",0.831389183457052,632.314422057264,97.6360127253446,0.998939554612937,0.832271762208068
0.01,50,10,10,"oxcal_trap","Pleistocene",0.835,842.5685,89.50594,0.923,0.839653304442037
0.01,50,10,10,"oxcal_unif","Holocene",0.613785557986871,384.912472647702,95.8492450765864,1,0.613785557986871
0.01,50,10,10,"oxcal_unif","Pleistocene",0.673,568.881,91.4044,0.978,0.669734151329243
0.01,50,10,40,"OLE_medians","Holocene",0.867147270854789,1258.2250457585,NA,NA,NA
0.01,50,10,40,"OLE_medians","Pleistocene",0.933,1651.67028257163,NA,NA,NA
0.01,50,10,40,"OLE_resamp_caldate","Holocene",0.984552008238929,1369.04317277612,NA,NA,NA
0.01,50,10,40,"OLE_resamp_caldate","Pleistocene",0.997,1978.33896934459,NA,NA,NA
0.01,50,10,40,"OLE_resamp_norm","Holocene",0.998970133882595,1571.47909860728,NA,NA,NA
0.01,50,10,40,"OLE_resamp_norm","Pleistocene",1,2463.40444063188,NA,NA,NA
0.01,50,10,40,"OLE_resamp_unif","Holocene",1,1552.1454906597,NA,NA,NA
0.01,50,10,40,"OLE_resamp_unif","Pleistocene",1,2183.78439071348,NA,NA,NA
0.01,50,10,80,"OLE_medians","Holocene",0.906282183316169,1032.35543280375,NA,NA,NA
0.01,50,10,80,"OLE_medians","Pleistocene",0.974,1394.94690593291,NA,NA,NA
0.01,50,10,80,"OLE_resamp_caldate","Holocene",0.996910401647786,1164.39841287442,NA,NA,NA
0.01,50,10,80,"OLE_resamp_caldate","Pleistocene",1,1698.3206801217,NA,NA,NA
0.01,50,10,80,"OLE_resamp_norm","Holocene",1,1408.0111475191,NA,NA,NA
0.01,50,10,80,"OLE_resamp_norm","Pleistocene",1,2237.2610926105,NA,NA,NA
0.01,50,10,80,"OLE_resamp_unif","Holocene",1,1369.03654364322,NA,NA,NA
0.01,50,10,80,"OLE_resamp_unif","Pleistocene",0.965,1863.97145402935,NA,NA,NA
0.01,50,40,40,"CRIWM","Holocene",0.776,225.652,NA,NA,NA
0.01,50,40,40,"CRIWM","Pleistocene",0.721,407.14,NA,NA,NA
0.01,50,40,40,"OLE_medians","Holocene",0.750772399588054,1349.87266047044,NA,NA,NA
0.01,50,40,40,"OLE_medians","Pleistocene",0.853,1667.43921762004,NA,NA,NA
0.01,50,40,40,"OLE_resamp_caldate","Holocene",0.884654994850669,1451.41429288573,NA,NA,NA
0.01,50,40,40,"OLE_resamp_caldate","Pleistocene",0.974,1951.08595375783,NA,NA,NA
0.01,50,40,40,"OLE_resamp_norm","Holocene",0.957775489186406,1579.73428403114,NA,NA,NA
0.01,50,40,40,"OLE_resamp_norm","Pleistocene",0.997,2285.31031638578,NA,NA,NA
0.01,50,40,40,"OLE_resamp_unif","Holocene",0.96086508753862,1609.76595481478,NA,NA,NA
0.01,50,40,40,"OLE_resamp_unif","Pleistocene",0.994,2277.53318467034,NA,NA,NA
0.01,50,40,40,"oxcal_trap","Holocene",0.92152704135737,331.134676564157,97.2771686108165,1,0.92152704135737
0.01,50,40,40,"oxcal_trap","Pleistocene",0.939,479.734,92.20901,0.91,0.942857142857143
0.01,50,40,40,"oxcal_unif","Holocene",0.365027322404372,194.527868852459,90.678043715847,0.995628415300546,0.366630076838639
0.01,50,40,40,"oxcal_unif","Pleistocene",0.488,337.4875,85.09764,0.884,0.464932126696833
0.01,50,40,80,"OLE_medians","Holocene",0.883625128733265,974.86282443779,NA,NA,NA
0.01,50,40,80,"OLE_medians","Pleistocene",0.964,1266.61984139945,NA,NA,NA
0.01,50,40,80,"OLE_resamp_caldate","Holocene",0.976313079299691,1081.50761895552,NA,NA,NA
0.01,50,40,80,"OLE_resamp_caldate","Pleistocene",0.997,1509.12298128524,NA,NA,NA
0.01,50,40,80,"OLE_resamp_norm","Holocene",0.998970133882595,1239.02010138549,NA,NA,NA
0.01,50,40,80,"OLE_resamp_norm","Pleistocene",1,1876.45822830789,NA,NA,NA
0.01,50,40,80,"OLE_resamp_unif","Holocene",0.997940267765191,1237.65612254579,NA,NA,NA
0.01,50,40,80,"OLE_resamp_unif","Pleistocene",1,1695.13496372829,NA,NA,NA
0.01,50,80,80,"CRIWM","Holocene",0.851,213.331,NA,NA,NA
0.01,50,80,80,"CRIWM","Pleistocene",0.501,374.121,NA,NA,NA
0.01,50,80,80,"OLE_medians","Holocene",0.819773429454171,1303.49818520488,NA,NA,NA
0.01,50,80,80,"OLE_medians","Pleistocene",0.892,1623.52035799898,NA,NA,NA
0.01,50,80,80,"OLE_resamp_caldate","Holocene",0.950566426364573,1405.95003952564,NA,NA,NA
0.01,50,80,80,"OLE_resamp_caldate","Pleistocene",0.989,1905.93195080765,NA,NA,NA
